Brand,Color,Price,no_of_star,rating,discount,Ton,annual_electricity_Consumption
LG,White,34900,2,3.7,27,1.5,704.42
CANDY,White,31490,3,4,48,1.5,1134.28
Blue star,White,46999,3,4.2,31,1.7,968.61
LG,White,48990,5,3.4,48,1.5,1114.71
ONIDA,White,24145,3,4.5,56,1.5,1049.79
Hitachi,White,39999,3,3.7,37,1.5,752.43
Haier,White,37990,3,4,42,1.5,1123.23
Voltas,White,73990,5,3.7,33.66,1.5,577.43
Haier,White,38990,5,3.2,46,1.6,1050.84
O-General,White,29490,4,3.5,3,0.75,1123.23
O-General,White,53500,3,4.2,1,1.5,624.48
Godrej,White,31490,3,4.1,35,1.5,962.49
Panasonic,White,37540,5,3.7,24,1.5,624.48
Godrej,White,31900,3,4.1,45,1.5,1123.77
SAMSUNG,White,44900,5,4.2,27,1.5,686.48
Hitachi,White,39499,5,3.1,19,1.5,704.42
Hisense,White,34990,3,4.2,30,1.5,1134.28
Lloyd,White,35500,5,4.2,35,1.5,589.14
Whirlpool,White,37680,5,4.1,49,1.5,1015.62
Blue star,White,44850,5,3.8,35,1.5,968.61
Voltas,White,37499,4,4,47,1.5,1114.71
Hitachi,White,45200,5,2.8,39,1.5,752.43
O-General,White,67890,5,4.2,9,1.5,1123.23
Blue star,White,39790,3,3.1,36,1.5,577.43
Daikin,White,43889,3,4.2,17,1.5,824.08
Daikin,White,26900,3,4.3,15,0.8,962.49
Voltas,White,42900,5,4.3,37,1.5,686.48
Midea,White,34990,5,4,40,1.5,704.42
Panasonic,White,41990,3,4.2,32,1.5,589.14
Hitachi,Gold,37900,3,4,20,1.5,1015.62
Voltas,White,32699,3,4.1,33,0.8,1114.71
Lloyd,White,38299,3,4.3,35,1.5,1049.79
Panasonic,White,44990,5,3.9,17,1.5,824.08
O-General,White,62500,4,4.2,12,1.8,1050.84
Daikin,White,41900,3,4.3,12,1.5,624.48
Panasonic,White,36999,3,4.2,36,1.5,624.48
Hitachi,White,49999,2,4,25,1.8,1123.77
Godrej,White,31490,3,4.1,38,1.5,686.48
