Brand,Color,Price,no_of_star,rating,discount,Model,Ton,annual_electricity_Consumption
Godrej,,31490,3,3.7,30.0,2023,1.4,1123.23
Hitachi,,33999,3,3.7,38.0,2023,,577.43
SAMSUNG,White,40834,5,4.2,39.0,,1.5,824.08
CARRIER,White,67790,3,3.7,,,1.5,1050.84
LG,White,49990,5,,39.0,2023,1.5,1123.23
SAMSUNG,White,32999,3,4.7,48.0,2023,,624.48
CARRIER,White,32999,3,4.3,39.0,,,962.49
CARRIER,White,32999,3,4.3,39.0,,,624.48
Daikin,White,45590,5,,38.0,,1.5,1123.77
Blue,White,31950,3,4.2,37.0,,,
TOSHIBA,White,43910,5,4,40.0,,1.8,686.48
SAMSUNG,,33999,3,4.2,37.0,2023,,
ONIDA,White,31490,3,4.3,28.0,2023,1.5,
Blue,White,35990,3,,41.0,2023,1.5,
Daikin,White,43990,1,,28.0,,1.8,704.42
Lloyd,White,42000,5,4.2,39.0,2023,1.5,1134.28
Hitachi,White,44590,5,,38.0,2023,1.5,589.14
IFB,,29990,2,4.2,25.0,2023,,1015.62
Voltas,White,44200,,,44.0,,,
Daikin,White,31999,3,4.2,8.0,,1.5,968.61
Hitachi,White,36930,3,4,33.0,,1.5,
Panasonic,,49999,5,4.1,34.0,2023,1.5,1114.71
Hitachi,White,42700,5,3.7,40.0,,1.5,1049.79
Daikin,White,40580,3,4.1,27.0,,1.5,752.43
ONIDA,White,29990,3,4.2,38.0,,,1123.23
MarQ,White,25999,3,4,42.0,,0.8,577.43
Voltas,White,44300,5,,37.0,,1.5,824.08
Hitachi,,38499,5,3.7,39.0,2023,,1050.84
Panasonic,White,37500,5,,,,1.5,1123.23
LG,,37990,5,4.2,44.0,2023,,624.48
Voltas,White,38499,4,4.2,44.0,,1.5,962.49
ONIDA,White,29990,3,4.2,38.0,,,624.48
Panasonic,White,37500,5,4.2,,,1.5,1123.77
LG,,37990,5,4.2,44.0,2023,,
Panasonic,White,36586,3,3.6,38.0,,,686.48
SAMSUNG,White,32999,3,4.7,48.0,2023,,
Voltas,White,38499,4,4.2,44.0,,1.5,
Daikin,White,62999,3,,27.0,,2.02,
SAMSUNG,White,56500,3,4.8,10.0,,1.5,704.42
SAMSUNG,White,53539,3,,36.0,2023,,1134.28
Lloyd,White,42599,5,4.1,30.0,,1.5,589.14
SAMSUNG,White,43500,5,4.3,15.0,,,1015.62
Hitachi,White,36990,3,3.8,36.0,,1.5,
MarQ,,24999,3,,43.0,,0.7,968.61
Blue,White,33999,5,4.1,2.0,,,
Lloyd,White,36990,3,3.8,39.0,,1.5,1114.71
Hitachi,White,42240,,,41.0,,1.5,1049.79
Daikin,White,40330,3,,34.0,,1.5,752.43
Hitachi,White,47999,3,4.3,24.0,,1.5,1123.23
Daikin,White,59990,3,4.8,30.0,,2.02,577.43
Daikin,White,39490,3,4.1,32.0,,1.5,824.08
Hitachi,,48999,3,3.7,33.0,2023,1.8,1050.84
Blue,White,51999,3,,18.0,,,1123.23
Hitachi,White,30490,3,4,47.0,,1.5,624.48
LG,,38990,3,4.2,51.0,,1.5,962.49
Lloyd,White,54900,5,4.2,36.0,2023,,624.48
Daikin,White,40330,3,,34.0,,1.5,1123.77
Daikin,White,59990,3,4.8,30.0,,2.02,
Daikin,White,39490,3,4.1,32.0,,1.5,686.48
Hitachi,,48999,3,3.7,33.0,2023,1.8,
Lloyd,White,47000,3,4.2,39.0,2023,,
