Brand,Color,Price,no_of_star,rating,discount,Model,Ton,annual_electricity_Consumption
SAMSUNG,White,"41,790",4,3,3,,1.5,966.47
Voltas,White,"70,436",5,4,,,1.5,925.24
Godrej,,"32,499",5,4,4,2023,1.5,571.99
LG,White,"48,990",5,,4,2023,1.5,751.28
IFB,White,"34,633",5,4,3,,1.5,883.14
Voltas,White,"34,990",5,3,4,,,521.6
Daikin,White,"47,800",5,4,3,,1.5,1002.84
O,White,"65,999",,,1,,1.5,794.34
Hitachi,White,"36,990",3,4,3,,1.5,1002.72
CARRIER,White,"46,500",5,,4,,1.5,999.49
Lloyd,White,"27,490",3,4,2,,1.5,854.16
Lloyd,White,"27,490",3,,4,2023,1.5,744.39
CANDY,White,"31,490",3,4,4,2023,1.5,977.8
Panasonic,White,"37,540",5,,2,,1.5,612.82
LG,White,"34,900",2,3,2,,1.5,727.66
Hitachi,White,"45,689",5,4,,,1.5,785.67
Voltas,White,"29,000",3,3,4,,,857.36
Voltas,White,"42,900",5,4,3,,1.5,1216.12
Haier,,"27,900",2,,4,2023,,748.27
Voltas,White,"29,000",3,3,4,,,975.26
Voltas,White,"42,900",5,4,3,,1.5,940.09
LG,,"50,900",5,4,3,,1.5,548.84
Daikin,White,"47,800",5,4,3,,1.5,761.33
Haier,,"27,900",2,3,4,2023,,694.03
Hitachi,White,"39,499",5,3,1,2023,1.5,966.47
Hitachi,,"36,999",5,3,4,2023,,925.24
LG,White,"34,900",2,3,2,,1.5,571.99
Hitachi,,"39,999",3,3,3,2023,1.5,751.28
Voltas,White,"37,499",4,4,4,,1.5,883.14
Godrej,White,"31,900",3,4,4,,1.5,521.6
Blue,White,"46,999",3,,3,,1.7,1002.84
